Fecha,Descripción Extracto,Monto,Tipo,Categoría,Línea / Proyecto,De quién / A quién,Estado,Notas
19/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,918000,Ingreso,,,,ACLARAR,¿De quién? ¿Qué línea?
19/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,1343000,Ingreso,,,,ACLARAR,¿De quién? ¿Qué línea?
19/06/2026,PAGO DE PROV CCA ALIANZA FID,1321634.25,Ingreso,,,CCA Alianza Fiduciaria,ACLARAR,¿Es recaudo de ventas? ¿Qué línea?
20/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,-2036000,Egreso,,,,ACLARAR,¿A quién? ¿Arriendo / nómina / proveedor?
20/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,-1360000,Egreso,,,,ACLARAR,¿A quién?
20/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,-5000000,Egreso,,,,ACLARAR,⚠️ GRANDE — ¿A quién? ¿Nómina / proveedor / inversión?
20/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,-50000,Egreso,,,,ACLARAR,¿A quién?
20/06/2026,IMPTO GOBIERNO 4X1000,-34131.47,Egreso,Gastos Financieros,—,DIAN,OK,
20/06/2026,COMPRA INTL Shopify 54729068,-86868.79,Egreso,Fee Shopify,Ecommerce,Shopify,OK,Suscripción mensual Shopify
21/06/2026,ABONO INTERESES AHORROS,21.74,Ingreso,Ingresos Financieros,—,Bancolombia,OK,
22/06/2026,ABONO INTERESES AHORROS,5.73,Ingreso,Ingresos Financieros,—,Bancolombia,OK,
22/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,-953586,Egreso,,,,ACLARAR,¿A quién? ¿Proveedor / nómina?
22/06/2026,IMPTO GOBIERNO 4X1000,-14962.75,Egreso,Gastos Financieros,—,DIAN,OK,
22/06/2026,COMPRA EN COMCEL PAG,-87102,Egreso,Servicios Admin,Admin,Claro/Comcel,OK,Plan celular empresa
22/06/2026,RETIRO CAJERO CARULLA CIUDAD,-2700000,Egreso,,,Efectivo,ACLARAR,¿Para qué fue el efectivo? ¿Pagos mano de obra?
23/06/2026,ABONO INTERESES AHORROS,5.70,Ingreso,Ingresos Financieros,—,Bancolombia,OK,
23/06/2026,IMPTO GOBIERNO 4X1000,-82.42,Egreso,Gastos Financieros,—,DIAN,OK,
23/06/2026,COMPRA INTL FACEBK L3E43UMQF,-20607.14,Egreso,Redes Sociales,Venta,Meta / Facebook,OK,Pauta publicitaria Facebook/Instagram
24/06/2026,ABONO INTERESES AHORROS,5.60,Ingreso,Ingresos Financieros,—,Bancolombia,OK,
24/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,-76000,Egreso,,,,ACLARAR,¿A quién?
24/06/2026,IMPTO GOBIERNO 4X1000,-304,Egreso,Gastos Financieros,—,DIAN,OK,
25/06/2026,TRANSFERENCIA CTA SUC VIRTUAL,540000,Ingreso,,,,ACLARAR,¿De quién? ¿Qué línea?
29/06/2026,ABONO INTERESES AHORROS,31.70,Ingreso,Ingresos Financieros,—,Bancolombia,OK,
30/06/2026,PAGO INTERBANC JUAN FERNANDO,500000,Ingreso,,,Juan Fernando,ACLARAR,¿Qué línea? ¿Studio / Lab / B2B?
30/06/2026,ABONO INTERESES AHORROS,7.25,Ingreso,Ingresos Financieros,—,Bancolombia,OK,
30/06/2026,PAGO DE PROV WOMPI S.A.S.,165000.92,Ingreso,,,Wompi,ACLARAR,Recaudo Wompi — ¿qué líneas incluye?
,,,,,,,,
TOTALES,,,,,,,,
Total Ingresos,19733710.96,,,,,,,
Total Egresos,-17523302.60,,,,,,,
Movimiento Neto,2210408.36,,,,,,,
